,LocID,Country,VarID,Variant,Time,MidPeriod,PopMale,PopFemale,PopTotal,PopDensity
117714,364,Iran (Islamic Republic of),2,Medium,2020,2020.5,42408.405999999995,41584.547,83992.95300000001,51.575
118598,368,Iraq,2,Medium,2020,2020.5,20357.778000000002,19864.725,40222.503,92.61
119482,372,Ireland,2,Medium,2020,2020.5,2451.349,2486.447,4937.795999999999,71.67699999999999
120366,833,Isle of Man,2,Medium,2020,2020.5,,,85.03200000000001,149.179
121250,376,Israel,2,Medium,2020,2020.5,4308.117,4347.424,8655.541,399.97900000000004
122134,380,Italy,2,Medium,2020,2020.5,29437.725,31024.103,60461.828,205.555
123018,388,Jamaica,2,Medium,2020,2020.5,1469.641,1491.52,2961.1609999999996,273.422
123902,392,Japan,2,Medium,2020,2020.5,61753.045,64723.413,126476.45800000001,346.934
124786,400,Jordan,2,Medium,2020,2020.5,5165.979,5037.161,10203.14,114.926
125670,398,Kazakhstan,2,Medium,2020,2020.5,9112.939,9663.768,18776.707,6.955
126554,404,Kenya,2,Medium,2020,2020.5,26718.527000000002,27052.772999999997,53771.3,94.478
127438,296,Kiribati,2,Medium,2020,2020.5,58.744,60.702,119.446,147.464
128322,414,Kuwait,2,Medium,2020,2020.5,2614.446,1656.1170000000002,4270.563,239.65
129206,417,Kyrgyzstan,2,Medium,2020,2020.5,3227.27,3296.921,6524.191,34.016
130090,2087,LLDC: Africa,2,Medium,2020,2020.5,169683.335,171705.217,341388.552,40.921
130241,2088,LLDC: Asia,2,Medium,2020,2020.5,82272.20599999999,84559.73800000001,166831.94400000002,25.063000000000002
130392,2089,LLDC: Europe,2,Medium,2020,2020.5,2974.0840000000003,3143.259,6117.343000000001,105.344
130543,2090,LLDC: Latin America,2,Medium,2020,2020.5,9482.379,9323.18,18805.558999999997,12.700999999999999
130694,1607,Land-locked Countries,2,Medium,2020,2020.5,294745.839,300850.368,595596.207,34.69
130845,1674,Land-locked Countries (Others),2,Medium,2020,2020.5,30333.835,32118.974,62452.809,98.906
130996,1636,Land-locked Developing Countries (LLDC),2,Medium,2020,2020.5,264412.00399999996,268731.394,533143.3979999999,32.238
131880,418,Lao People's Democratic Republic,2,Medium,2020,2020.5,3651.7940000000003,3623.762,7275.556,31.523000000000003
132834,904,Latin America and the Caribbean,2,Medium,2020,2020.5,321628.75399999996,332333.578,653962.332,32.472
132835,1830,Latin America and the Caribbean,2,Medium,2020,2020.5,321628.75399999996,332333.578,653962.332,32.472
134532,1532,Latin American Integration Association (ALADI),2,Medium,2020,2020.5,282098.076,291560.475,573658.551,29.974
134683,1826,Latin American and Caribbean Group (GRULAC),2,Medium,2020,2020.5,319457.037,329919.286,649376.323,32.419000000000004
134834,428,Latvia,2,Medium,2020,2020.5,869.336,1016.8660000000001,1886.2020000000002,30.325
135718,1559,"League of Arab States (LAS, informal name: Arab League)",2,Medium,2020,2020.5,226176.521,210202.354,436378.875,33.541
135869,941,Least developed countries,2,Medium,2020,2020.5,526016.328,531421.835,1057438.163,52.50899999999999
136753,1475,Least developed: Africa,2,Medium,2020,2020.5,349100.91,352734.57899999997,701835.4890000001,40.101
136904,1476,Least developed: Asia,2,Medium,2020,2020.5,170719.53,172355.345,343074.875,133.599
137055,1477,Least developed: Latin America and the Caribbean,2,Medium,2020,2020.5,5626.445,5776.088000000001,11402.533000000001,413.735
137206,1478,Least developed: Oceania,2,Medium,2020,2020.5,569.443,555.823,1125.266,27.432
137357,422,Lebanon,2,Medium,2020,2020.5,3435.7459999999996,3389.696,6825.441999999999,667.199
138241,426,Lesotho,2,Medium,2020,2020.5,1056.95,1085.302,2142.252,70.562
139125,902,Less developed regions,2,Medium,2020,2020.5,3309510.625,3211983.8430000003,6521494.467999999,80.515
140009,948,"Less developed regions, excluding China",2,Medium,2020,2020.5,2555677.206,2494530.383,5050207.589,70.561
140893,934,"Less developed regions, excluding least developed countries",2,Medium,2020,2020.5,2783494.297,2680562.008,5464056.305,89.78200000000001
141777,1479,Less developed: Africa,2,Medium,2020,2020.5,669878.34,670719.7729999999,1340598.113,45.216
141928,1480,Less developed: Asia,2,Medium,2020,2020.5,2311708.99,2202869.338,4514578.328,147.205
142079,1481,Less developed: Latin America and the Caribbean,2,Medium,2020,2020.5,321628.75399999996,332333.578,653962.332,32.472
142230,1482,Less developed: Oceania,2,Medium,2020,2020.5,6294.541,6061.154,12355.695,22.845
142381,430,Liberia,2,Medium,2020,2020.5,2542.5389999999998,2515.138,5057.677,52.50899999999999
143265,434,Libya,2,Medium,2020,2020.5,3468.737,3402.55,6871.286999999999,3.905
144149,438,Liechtenstein,2,Medium,2020,2020.5,,,38.137,238.356
145033,440,Lithuania,2,Medium,2020,2020.5,1259.987,1462.3039999999999,2722.2909999999997,43.43600000000001
145917,1500,Low-income countries,2,Medium,2020,2020.5,385051.46200000006,390659.15,775710.6120000001,52.257
146801,1501,Lower-middle-income countries,2,Medium,2020,2020.5,1579569.979,1518665.305,3098235.284,144.386
147685,442,Luxembourg,2,Medium,2020,2020.5,316.587,309.389,625.976,241.69
148569,450,Madagascar,2,Medium,2020,2020.5,13814.618999999999,13876.4,27691.019,47.596000000000004
149453,454,Malawi,2,Medium,2020,2020.5,9434.037,9695.918,19129.955,202.90599999999998
150337,458,Malaysia,2,Medium,2020,2020.5,16630.813000000002,15735.185,32365.998,98.512
151221,462,Maldives,2,Medium,2020,2020.5,342.92800000000005,197.614,540.5419999999999,1801.807
